2025-04-13 21:17:20,488 INFO    MainThread:117062 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-13 21:17:20,489 INFO    MainThread:117062 [wandb_setup.py:_flush():67] Configure stats pid to 117062
2025-04-13 21:17:20,489 INFO    MainThread:117062 [wandb_setup.py:_flush():67] Loading settings from /home/choi/.config/wandb/settings
2025-04-13 21:17:20,489 INFO    MainThread:117062 [wandb_setup.py:_flush():67] Loading settings from /home/choi/hwang/workspace/HeadHunter/wandb/settings
2025-04-13 21:17:20,489 INFO    MainThread:117062 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-13 21:17:20,489 INFO    MainThread:117062 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/choi/hwang/workspace/HeadHunter/wandb/run-20250413_211720-4xlscnkk/logs/debug.log
2025-04-13 21:17:20,489 INFO    MainThread:117062 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/choi/hwang/workspace/HeadHunter/wandb/run-20250413_211720-4xlscnkk/logs/debug-internal.log
2025-04-13 21:17:20,489 INFO    MainThread:117062 [wandb_init.py:init():781] calling init triggers
2025-04-13 21:17:20,489 INFO    MainThread:117062 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'batch_size': 1, 'lr': 0.01, 'epochs': 50, '_wandb': {}}
2025-04-13 21:17:20,489 INFO    MainThread:117062 [wandb_init.py:init():809] starting backend
2025-04-13 21:17:20,489 INFO    MainThread:117062 [wandb_init.py:init():813] sending inform_init request
2025-04-13 21:17:20,507 INFO    MainThread:117062 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-13 21:17:20,507 INFO    MainThread:117062 [wandb_init.py:init():823] backend started and connected
2025-04-13 21:17:20,509 INFO    MainThread:117062 [wandb_init.py:init():915] updated telemetry
2025-04-13 21:17:20,621 INFO    MainThread:117062 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-13 21:17:21,096 INFO    MainThread:117062 [wandb_init.py:init():1014] starting run threads in backend
2025-04-13 21:17:21,164 INFO    MainThread:117062 [wandb_run.py:_console_start():2454] atexit reg
2025-04-13 21:17:21,165 INFO    MainThread:117062 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-13 21:17:21,165 INFO    MainThread:117062 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-13 21:17:21,165 INFO    MainThread:117062 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-13 21:17:21,166 INFO    MainThread:117062 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-13 21:21:19,175 INFO    MsgRouterThr:117062 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
